index,Winddir,Windspeed,Gust_Factor,visability,Condition,cloudCover,ceiling,temp,dew,alt,Conditions
610,20,5,0,0,9,8,3,3,2,2984,P
611,50,11,0,10,0,0,0,2,-2,2994,P
612,100,8,0,10,1.25,4,28,8,8,2905,P
613,100,8,0,10,1.25,4,28,8,8,2905,P
614,80,11,0,10,0,0,0,0,-5,3009,P
615,80,11,0,10,0,0,0,0,-5,3009,P
616,70,10,0,10,0,0,0,1,-3,3003,P
617,70,14,0,10,0,0,0,1,-6,3001,P
618,70,10,0,10,0,0,0,-1,-7,3001,P
619,80,5,0,10,0,0,0,-3,-7,3011,P
620,70,10,15,10,0,0,0,2,-4,3002,P
621,150,13,0,10,0,0,0,26,11,2931,P
622,40,13,0,5,1,5,16,6,4,2988,P
623,130,4,0,10,0,0,0,-5,-12,3038,P
624,0,0,0,10,0,0,0,-4,-11,3047,P
625,60,3,0,10,0,0,0,-3,-10,3039,P
626,290,6,0,10,0,0,0,6,0,2984,P
627,90,8,0,10,0,0,0,-8,-12,3038,P
628,0,17,0,5,10,7,8,-4,-5,3004,P
629,90,13,0,5,10,7,9,-3,-4,3007,P
630,0,0,0,10,0,0,0,-4,-11,3047,P
631,330,3,0,10,0,0,0,-1,-8,3037,P
632,270,11,0,10,0,0,0,7,-1,2985,P
633,90,8,0,10,0,0,0,-8,-12,3038,P
634,170,6,0,10,0,0,0,4,-11,3045,P
635,0,0,0,10,0,0,0,-2,-8,3057,P
636,30,10,0,10,1.25,4,50,4,-1,2996,P
637,360,8,0,10,8,7,70,2,-4,2998,P
638,100,16,0,3,10,7,7,-2,-4,3004,P
639,100,16,0,3,10,7,7,-2,-4,3004,P
640,110,5,0,10,0,0,0,4,-3,3054,P
641,130,4,0,10,0,0,0,-5,-12,3038,P
642,140,7,0,10,0,7,110,-11,-14,3038,P
643,110,14,0,6,11,7,9,-2,-5,3010,P
644,70,10,0,10,0,0,0,-3,-7,3012,P
645,140,10,0,10,0,7,90,-13,-16,3036,P
646,70,14,20,4,10,7,4,-3,-4,3009,P
647,50,10,0,6,0.25,7,8,-3,-4,2998,P
648,40,5,0,10,0,0,0,-5,-8,3006,P
649,140,3,0,10,0,0,0,-1,-12,3057,P
650,0,0,0,10,0,0,0,-3,-8,3056,P
651,0,0,0,10,0,0,0,-9,-19,3039,P
652,80,11,0,10,0,0,0,-7,-11,2993,P
653,200,5,0,10,0,0,0,-11,-18,3027,P
654,90,12,0,6,10,7,11,-4,-6,3003,P
655,10,8,0,10,0,0,0,-8,-9,3006,P
656,110,4,0,3,11,6,14,1,-2,3025,P
657,80,3,0,10,0,0,0,-1,-6,3057,P
658,70,11,0,10,0,0,0,-6,-11,2998,P
659,360,7,0,10,0,0,0,-3,-6,2998,P
660,100,15,0,7,0,0,0,-1,-3,3009,P
